dc,dinve,dw,dy,labobs,pinfobs,robs
0.125190343,3.745902458,-0.390910855,-0.346646872,2.405991384,1.733212889,0.209166667
-0.31135055,7.863266525,0.149491058,1.151612395,3.1200851,2.482239773,0.251666667
0.429219445,3.036307347,1.804114791,1.160385228,3.722780583,0.760128271,0.2725
1.102048148,1.053554675,0.374201838,1.533762346,3.705329055,0.883676382,0.275
-0.514535875,-0.054366833,0.628307103,0.24768822,3.716847268,1.840954156,0.2875
0.096051145,-0.410564068,0.964797828,0.073908441,2.978501947,0.247338225,0.31
-0.38211984,-5.984676368,0.398455007,-1.664382734,2.090491855,-0.398455007,0.3175
1.756254797,-2.406161522,1.100950873,-0.539529184,0.365709159,-1.100950873,0.3175
-0.038180903,-1.244116121,1.774201699,0.836766661,-0.440932473,-0.576582595,0.285833333
0.95291519,2.926014199,-0.098376791,-1.312679612,-0.088838869,0.098376791,0.294166667
1.501054728,5.856546539,2.660799107,3.727529446,0.055966234,-0.307749366,0.300833333
1.440212273,9.868647321,0.7623325,2.66242881,1.861344941,0.39374974,0.313333333
4.763153387,7.802501179,0.182580092,3.629793905,3.261707758,2.090245016,0.33
-2.956828763,-1.845391394,0.316359616,2.058564266,3.913588874,1.905954062,0.359166667
2.163271905,-3.770263433,-0.417254185,1.4799435,4.70659392,3.66078176,0.366666667
-2.509746522,-3.578560528,0.445825259,1.862936388,4.883539918,0.612385674,0.3975
1.216886587,-1.093972208,2.026895549,1.942144917,4.327126918,0.056513141,0.425833333
0.610431493,-1.296203957,-0.075608444,-0.023129631,4.398695741,1.101258461,0.4275
0.59563118,1.781970841,2.115309174,0.923349585,4.908549118,-0.095038442,0.416666667
1.625155654,1.439904457,-0.189986646,-0.066681549,3.963483277,0.189986646,0.436666667
-0.31899389,-7.683570541,-0.148407437,0.327554218,3.797486375,1.143440522,0.470833333
2.985331174,6.555164697,2.634954586,2.889999516,4.664695111,0.292083644,0.498333333
0.654750609,3.05398252,0.956945102,0.952820153,5.744987347,0,0.52
0.369727761,0.700180829,1.699922212,0.538329848,4.410896691,0.186926219,0.563333333
-0.303738496,0.308251212,0.546487904,-0.825008405,3.143460912,0.383751362,0.514166667
-0.771388493,-1.836040898,0.703038401,-1.928421691,1.526947931,0.218627109,0.393333333
0.184604162,-2.336529469,0.591643326,-0.840551809,0.685806016,0.32160503,0.29
0.811455305,1.664731125,-0.092474236,-0.186697026,-0.051020059,0.092474236,0.2225
0.576932145,3.525080374,0.725718491,0.852539362,-0.534355056,0.179265061,0.256666667
1.37724386,1.665617428,0.615039269,1.645737088,0.218354869,0.28182773,0.246666667
1.737270186,3.085796857,0.408371181,2.521638889,1.280937577,0.48052356,0.335833333
1.217028141,4.216929986,0.461820215,1.256659774,2.353584631,0.419242753,0.375
0.559847441,2.344092241,0.130585305,1.003938664,3.819218707,0.742782692,0.485
0.239131064,0.079332511,-0.140664771,0.260082683,4.692638259,1.006471045,0.589166667
-0.674629817,-1.276361606,0.702565041,-0.738394948,4.465142477,1.006878295,0.620833333
0.154695642,0.933174103,1.933082119,0.512520496,4.157669585,0.577509995,0.673333333
-0.391066896,0.037505883,-0.455318011,-0.415640991,4.154374079,1.278367925,0.7025
1.292666411,-0.523860374,1.242645437,1.333295832,3.957072689,0.38340665,0.731666667
-0.092419674,-0.796952593,0.196591213,0.344246291,3.662545926,1.403442921,0.733333333
-0.16124578,-1.404360761,0.892923708,-0.538321164,2.715754072,0.681911989,0.75
0.666621175,0.638635102,0.185331855,0.627411213,2.308175593,0.592882189,0.808333333
0.189812524,-1.82673256,1.528557451,-1.451022208,0.511900531,0.009934433,0.813333333
-1.596477212,-8.746672495,-1.096632211,-3.080401279,-1.371789202,1.096632211,0.465833333
0.418637603,-2.927741079,1.201254703,0.327354028,-1.867918453,0.313925799,0.235
0.792714101,0.487870888,0.094959598,2.007720255,-1.321381424,0.654107575,0.330833333
0.381989135,5.335826619,0.981616737,1.891950277,-0.34668373,0.499891842,0.540833333
1.906707654,5.523110484,0.500495588,1.516223642,0.237782659,0.232108421,0.6425
1.547480198,3.163464723,0.727275933,2.226258435,1.517491589,0,0.770833333
1.038886018,0.996146604,0.485635175,-0.432872323,1.052698013,0.236389622,0.894166667
-0.084063806,-1.925437463,1.01025549,0.034032885,0.548440562,0.418340235,0.9975
-0.007265581,2.412843712,1.669631246,1.521110809,0.040830354,0.435709674,0.983333333
1.129024378,-2.443183756,-0.348158215,-0.781887188,1.140777124,0.348158215,0.924166667
